text;context;verse;predicate;form;lexeme;PoS;head;anim;semantics;number;role;case;marker;allomorph;postp;trajector;motion;dialect;area;year;period
Lç;"""guziz goiz ethor zitezen <monumentera>""";Lk 24,Archaic;etorri;monumentera;monumentu;noun;monumentu;inanim;building;SG;Goal;allative;–ra;;;people;real;L;E;1571;Archaic
Lç;"""Ilkhi zedin bada Jesus <kanpora>""";Jn 19,5;jalgi;kanpora;kanpo;adv;kanpo;inanim;orientation;SG;Direction;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""<Trunkora> emaiten zuen alargunaz.""";Mk 12;eman;trunkora;trunko;noun;trunko;inanim;container;SG;Goal;allative;–ra;;;money;inanim;L;E;1571;Archaic
Lç;"""alhargun paubre hunek gehiago eman duela ezen ez <trunkora> eman duten guziék.""";Mk 12,43;joan;trunkora;trunko;noun;trunko;inanim;container;SG;Goal;allative;–ra;;;money;real;L;E;1571;Archaic
Lç;"""baldin hiletarik zenbeit joan badadi <hetara>, emendaturen dituk""";Lk 16,30;joan;hetara;haiek;pro;haiek;human;human;PL;Goal;allative;–ra;;;spirit;real;L;E;1571;Archaic
Lç;"""libratzen zaituztela <sinagogetara> eta presoindegietara, eramanik Regetara eta Gobernadoretara, ene izenagatik.""";Lk 21,12;libratu;sinagogetara;sinagoga;noun;sinagoga;inanim;institution;PL;Recipient;allative;–ra;;;human;metaphoric;L;E;1571;Archaic
Lç;"""libratzen zaituztela sinagogetara eta <presoindegietara>, eramanik Regetara eta Gobernadoretara, ene izenagatik.""";Lk 21,12;libratu;presoindegietara;presondegi;noun;presondegi;inanim;institution;PL;Recipient;allative;–ra;;;human;metaphoric;L;E;1571;Archaic
Lç;"""libratzen zaituztela sinagogetara eta presoindegietara, eramanik <Regetara> eta Gobernadoretara, ene izenagatik.""";Lk 21,12;eraman;regetara;errege;noun;errege;human;occupation;PL;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""libratzen zaituztela sinagogetara eta presoindegietara, eramanik Regetara eta <Gobernadoretara>, ene izenagatik.""";Lk 21,12;eraman;gobernadoretara;gobernadore;noun;gobernadore;human;occupation;PL;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""abanzatu da ene gorputzaren <unktatzera> ene ohorztekotzat.""";Mk 14,8;abantzatu;unktatzera;untatu;nmlz;untatu;inanim;;SG;Purpose;allative;–ra;;;body;real;L;E;1571;Archaic
Lç;"""Eta iraitz zezaten hura <kanpora>.""";Jn 9,34;eraitsi;kanpora;kanpo;adv;kanpo;inanim;orientation;SG;Direction;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""eramanik hura deabruak <mendi gora batetara>""";Lk 4,5;eraman;batetara;bat;det;mendi;inanim;area;indet;Goal;allative;–ra;;;spirit;real;L;E;1571;Archaic
Lç;"""bere hitzaren ezagutzea igorri ukhan etzerauen <jendeak baithara> ere""";Intro;igorri;baithara;baita;postp;jende;human;mass;SG;Goal;allative;baitara;Ø_baitara;;;real;L;E;1571;Archaic
Lç;"""Habil fitetz <plazetara>, eta hiriko karriketara, eta paubreak eta inpotentak, eta mainguak eta itsuak huna barnera erekhar itzak.""";Lk 14,21;ibili;plazetara;plaza;noun;plaza;inanim;area;PL;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
